alpha,prior_mean,champion,best_pool,best_pool_score,best_pool_member,top_pool_appearances,top_pool_share,best_rank
0.0,0.49997400485652904,Ahri,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Akali,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Akshan,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,10,0.1,9.0
0.0,0.49997400485652904,Anivia,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,5,0.05,15.0
0.0,0.49997400485652904,Annie,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,5,0.05,13.0
0.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,12,0.12,3.0
0.0,0.49997400485652904,Aurora,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Azir,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Brand,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,4,0.04,6.0
0.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,47.0
0.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Diana,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,3,0.03,12.0
0.0,0.49997400485652904,Ekko,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,34.0
0.0,0.49997400485652904,Fizz,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,6,0.06,5.0
0.0,0.49997400485652904,Galio,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Hwei,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,16.0
0.0,0.49997400485652904,Irelia,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,23.0
0.0,0.49997400485652904,Jayce,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,64.0
0.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,41.0
0.0,0.49997400485652904,Katarina,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,6,0.06,7.0
0.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,3,0.03,22.0
0.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,2,0.02,46.0
0.0,0.49997400485652904,Lux,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,35.0
0.0,0.49997400485652904,Malphite,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,3,0.03,42.0
0.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,37.0
0.0,0.49997400485652904,Mel,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,58.0
0.0,0.49997400485652904,Morgana,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,20,0.2,10.0
0.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,11.0
0.0,0.49997400485652904,Nasus,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,20,0.2,2.0
0.0,0.49997400485652904,Orianna,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Vel'Koz",0.5533629795822144,True,40,0.4,1.0
0.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,3,0.03,25.0
0.0,0.49997400485652904,Ryze,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Sion,"Pantheon, Sion, Vel'Koz",0.5533629795822144,True,96,0.96,1.0
0.0,0.49997400485652904,Smolder,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Swain,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,10,0.1,8.0
0.0,0.49997400485652904,Sylas,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Syndra,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,49.0
0.0,0.49997400485652904,Taliyah,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Talon,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Twisted Fate,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,45.0
0.0,0.49997400485652904,Veigar,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,4,0.04,27.0
0.0,0.49997400485652904,Vel'Koz,"Pantheon, Sion, Vel'Koz",0.5533629795822144,True,14,0.14,1.0
0.0,0.49997400485652904,Vex,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,6,0.06,48.0
0.0,0.49997400485652904,Viktor,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,29.0
0.0,0.49997400485652904,Vladimir,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Xerath,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,8,0.08,4.0
0.0,0.49997400485652904,Yasuo,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,76.0
0.0,0.49997400485652904,Yone,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,0,0.0,
0.0,0.49997400485652904,Zed,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,38.0
0.0,0.49997400485652904,Ziggs,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,4,0.04,17.0
0.0,0.49997400485652904,Zoe,"Pantheon, Sion, Vel'Koz",0.5533629795822144,False,1,0.01,67.0
25.0,0.49997400485652904,Ahri,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Akali,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Akshan,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,14,0.14,7.0
25.0,0.49997400485652904,Anivia,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,6,0.06,13.0
25.0,0.49997400485652904,Annie,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,5,0.05,12.0
25.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,15,0.15,3.0
25.0,0.49997400485652904,Aurora,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Azir,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Brand,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,2,0.02,9.0
25.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,62.0
25.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Diana,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,2,0.02,11.0
25.0,0.49997400485652904,Ekko,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,31.0
25.0,0.49997400485652904,Fizz,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,7,0.07,4.0
25.0,0.49997400485652904,Galio,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Hwei,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,14.0
25.0,0.49997400485652904,Irelia,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,20.0
25.0,0.49997400485652904,Jayce,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,64.0
25.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,43.0
25.0,0.49997400485652904,Katarina,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,6,0.06,6.0
25.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,2,0.02,16.0
25.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,50.0
25.0,0.49997400485652904,Lux,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,39.0
25.0,0.49997400485652904,Malphite,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,3,0.03,48.0
25.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,3,0.03,28.0
25.0,0.49997400485652904,Mel,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,63.0
25.0,0.49997400485652904,Morgana,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,14,0.14,15.0
25.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,2,0.02,10.0
25.0,0.49997400485652904,Nasus,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,15,0.15,5.0
25.0,0.49997400485652904,Orianna,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Vel'Koz",0.5491600373603092,True,39,0.39,1.0
25.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,2,0.02,21.0
25.0,0.49997400485652904,Ryze,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Sion,"Pantheon, Sion, Vel'Koz",0.5491600373603092,True,97,0.97,1.0
25.0,0.49997400485652904,Smolder,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Swain,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,9,0.09,8.0
25.0,0.49997400485652904,Sylas,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Syndra,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,59.0
25.0,0.49997400485652904,Taliyah,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Talon,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Twisted Fate,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,55.0
25.0,0.49997400485652904,Veigar,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,8,0.08,23.0
25.0,0.49997400485652904,Vel'Koz,"Pantheon, Sion, Vel'Koz",0.5491600373603092,True,15,0.15,1.0
25.0,0.49997400485652904,Vex,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,6,0.06,26.0
25.0,0.49997400485652904,Viktor,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,24.0
25.0,0.49997400485652904,Vladimir,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Xerath,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,12,0.12,2.0
25.0,0.49997400485652904,Yasuo,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,79.0
25.0,0.49997400485652904,Yone,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,0,0.0,
25.0,0.49997400485652904,Zed,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,40.0
25.0,0.49997400485652904,Ziggs,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,19.0
25.0,0.49997400485652904,Zoe,"Pantheon, Sion, Vel'Koz",0.5491600373603092,False,1,0.01,72.0
50.0,0.49997400485652904,Ahri,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Akali,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Akshan,"Pantheon, Sion, Xerath",0.5462958377316645,False,16,0.16,6.0
50.0,0.49997400485652904,Anivia,"Pantheon, Sion, Xerath",0.5462958377316645,False,6,0.06,14.0
50.0,0.49997400485652904,Annie,"Pantheon, Sion, Xerath",0.5462958377316645,False,5,0.05,12.0
50.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Xerath",0.5462958377316645,False,16,0.16,2.0
50.0,0.49997400485652904,Aurora,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Azir,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Brand,"Pantheon, Sion, Xerath",0.5462958377316645,False,2,0.02,10.0
50.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,73.0
50.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Diana,"Pantheon, Sion, Xerath",0.5462958377316645,False,2,0.02,11.0
50.0,0.49997400485652904,Ekko,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,36.0
50.0,0.49997400485652904,Fizz,"Pantheon, Sion, Xerath",0.5462958377316645,False,10,0.1,4.0
50.0,0.49997400485652904,Galio,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Hwei,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,13.0
50.0,0.49997400485652904,Irelia,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,25.0
50.0,0.49997400485652904,Jayce,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,69.0
50.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,46.0
50.0,0.49997400485652904,Katarina,"Pantheon, Sion, Xerath",0.5462958377316645,False,8,0.08,5.0
50.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,17.0
50.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Xerath",0.5462958377316645,False,3,0.03,57.0
50.0,0.49997400485652904,Lux,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,43.0
50.0,0.49997400485652904,Malphite,"Pantheon, Sion, Xerath",0.5462958377316645,False,3,0.03,55.0
50.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Xerath",0.5462958377316645,False,4,0.04,24.0
50.0,0.49997400485652904,Mel,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,66.0
50.0,0.49997400485652904,Morgana,"Pantheon, Sion, Xerath",0.5462958377316645,False,8,0.08,18.0
50.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Xerath",0.5462958377316645,False,3,0.03,9.0
50.0,0.49997400485652904,Nasus,"Pantheon, Sion, Xerath",0.5462958377316645,False,10,0.1,7.0
50.0,0.49997400485652904,Orianna,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Xerath",0.5462958377316645,True,38,0.38,1.0
50.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,22.0
50.0,0.49997400485652904,Ryze,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Sion,"Pantheon, Sion, Xerath",0.5462958377316645,True,98,0.98,1.0
50.0,0.49997400485652904,Smolder,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Swain,"Pantheon, Sion, Xerath",0.5462958377316645,False,7,0.07,8.0
50.0,0.49997400485652904,Sylas,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Syndra,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,68.0
50.0,0.49997400485652904,Taliyah,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Talon,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Twisted Fate,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,62.0
50.0,0.49997400485652904,Veigar,"Pantheon, Sion, Xerath",0.5462958377316645,False,7,0.07,21.0
50.0,0.49997400485652904,Vel'Koz,"Pantheon, Sion, Xerath",0.5462958377316645,False,15,0.15,3.0
50.0,0.49997400485652904,Vex,"Pantheon, Sion, Xerath",0.5462958377316645,False,7,0.07,15.0
50.0,0.49997400485652904,Viktor,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,26.0
50.0,0.49997400485652904,Vladimir,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Xerath,"Pantheon, Sion, Xerath",0.5462958377316645,True,15,0.15,1.0
50.0,0.49997400485652904,Yasuo,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,94.0
50.0,0.49997400485652904,Yone,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Zed,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,47.0
50.0,0.49997400485652904,Ziggs,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,31.0
50.0,0.49997400485652904,Zoe,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,86.0
100.0,0.49997400485652904,Ahri,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Akali,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Akshan,"Pantheon, Sion, Xerath",0.5423093552212241,False,17,0.17,6.0
100.0,0.49997400485652904,Anivia,"Pantheon, Sion, Xerath",0.5423093552212241,False,7,0.07,14.0
100.0,0.49997400485652904,Annie,"Pantheon, Sion, Xerath",0.5423093552212241,False,5,0.05,15.0
100.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Xerath",0.5423093552212241,False,17,0.17,2.0
100.0,0.49997400485652904,Aurora,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Azir,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Brand,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,24.0
100.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Diana,"Pantheon, Sion, Xerath",0.5423093552212241,False,3,0.03,12.0
100.0,0.49997400485652904,Ekko,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,52.0
100.0,0.49997400485652904,Fizz,"Pantheon, Sion, Xerath",0.5423093552212241,False,12,0.12,4.0
100.0,0.49997400485652904,Galio,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Hwei,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,13.0
100.0,0.49997400485652904,Irelia,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,40.0
100.0,0.49997400485652904,Jayce,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,67.0
100.0,0.49997400485652904,Katarina,"Pantheon, Sion, Xerath",0.5423093552212241,False,11,0.11,5.0
100.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,30.0
100.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Xerath",0.5423093552212241,False,3,0.03,46.0
100.0,0.49997400485652904,Lux,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,62.0
100.0,0.49997400485652904,Malphite,"Pantheon, Sion, Xerath",0.5423093552212241,False,4,0.04,83.0
